                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 0.5993,                0.50727,                0.96343,                0.98015,                0.95871,                0.98008,                0.79141,                0.74002,                0.47248,                  1.042,              0.0010894,              0.0010894,              0.0010894
                     37,                0.59454,                0.49226,                0.96514,                0.98058,                0.98058,                0.98136,                0.80642,                0.69444,                0.44885,                0.99137,              0.0010729,              0.0010729,              0.0010729
                     38,                0.58917,                0.47824,                0.96807,                0.97958,                0.98058,                0.98762,                0.83126,                 0.6755,                0.40705,                0.98892,              0.0010564,              0.0010564,              0.0010564
                     39,                0.58558,                0.48898,                0.96301,                0.97948,                0.99029,                0.98385,                 0.8032,                0.66649,                0.42311,                0.97549,              0.0010399,              0.0010399,              0.0010399
                     40,                0.57939,                0.48166,                0.96172,                 0.9622,                0.98843,                0.98016,                0.80681,                0.68513,                 0.4433,                0.99902,              0.0010234,              0.0010234,              0.0010234
                     41,                0.59145,                0.47945,                0.95618,                0.97567,                0.98058,                0.97781,                0.78819,                0.68205,                0.45495,                0.97962,              0.0010069,              0.0010069,              0.0010069
                     42,                0.57343,                0.47144,                0.95427,                 0.9654,                0.96117,                0.98691,                0.81974,                0.65583,                0.43724,                0.99718,             0.00099036,             0.00099036,             0.00099036
                     43,                0.55832,                 0.4545,                0.95012,                0.97762,                0.99029,                0.98394,                0.80335,                0.67016,                  0.413,                0.99579,             0.00097386,             0.00097386,             0.00097386
                     44,                0.55778,                0.46148,                0.93965,                0.97921,                0.97087,                0.97907,                0.79448,                0.70212,                   0.44,                 0.9734,             0.00095736,             0.00095736,             0.00095736
                     45,                0.55304,                0.44928,                0.93982,                0.97809,                0.98058,                0.98112,                0.80355,                0.69217,                0.42658,                0.98872,             0.00094085,             0.00094085,             0.00094085
