                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.63112,                0.48371,                 1.0306,                0.94752,                0.97087,                0.98101,                0.80447,                0.70291,                0.43774,                 1.1624,              0.0011059,              0.0011059,              0.0011059
                     36,                0.62314,                0.50401,                 1.0542,                0.95316,                0.98787,                0.98367,                0.79645,                0.72979,                0.42128,                 1.2008,              0.0010894,              0.0010894,              0.0010894
                     37,                0.59939,                0.49083,                  1.019,                0.94223,                0.99029,                0.98011,                0.80779,                0.70856,                0.45482,                 1.1539,              0.0010729,              0.0010729,              0.0010729
                     38,                0.61706,                0.49626,                 1.0357,                0.95772,                0.99029,                0.98408,                0.80492,                 0.6987,                0.43232,                 1.1497,              0.0010564,              0.0010564,              0.0010564
                     39,                 0.5921,                0.48331,                 1.0149,                0.94731,                0.96117,                0.97994,                0.79943,                0.73305,                0.43743,                 1.1776,              0.0010399,              0.0010399,              0.0010399
                     40,                0.60078,                0.46833,                0.99949,                0.93994,                0.97087,                0.97895,                0.80051,                 0.7182,                0.42766,                 1.1478,              0.0010234,              0.0010234,              0.0010234
                     41,                0.60923,                0.47337,                 1.0156,                0.98077,                0.99011,                0.98752,                 0.8121,                 0.6569,                0.39471,                 1.1362,              0.0010069,              0.0010069,              0.0010069
                     42,                0.59442,                0.47632,                 1.0257,                0.96014,                0.97087,                0.98777,                0.81388,                0.70864,                0.41288,                 1.1567,             0.00099036,             0.00099036,             0.00099036
                     43,                0.58387,                0.45595,                 1.0125,                0.97732,                0.96117,                0.99106,                0.80913,                0.69647,                0.41281,                 1.1579,             0.00097386,             0.00097386,             0.00097386
                     44,                0.56563,                0.46049,                 1.0094,                0.96579,                0.95146,                 0.9916,                0.80553,                0.69417,                0.40265,                 1.1503,             0.00095736,             0.00095736,             0.00095736
                     45,                 0.5758,                0.45362,                   1.01,                0.97732,                0.97087,                 0.9826,                0.79327,                 0.7105,                  0.428,                  1.161,             0.00094085,             0.00094085,             0.00094085
                     46,                0.54092,                 0.4268,                0.98103,                0.96156,                0.97153,                 0.9869,                0.79995,                0.68924,                0.40991,                 1.1767,             0.00092435,             0.00092435,             0.00092435
                     47,                0.57667,                 0.4378,                  1.011,                0.97081,                0.96861,                0.98339,                0.79509,                 0.6755,                0.39617,                 1.1521,             0.00090785,             0.00090785,             0.00090785
                     48,                0.53702,                0.42878,                0.97982,                0.97044,                0.95634,                0.98892,                0.80948,                0.67087,                0.40606,                 1.1167,             0.00089134,             0.00089134,             0.00089134
                     49,                 0.5565,                0.44639,                 1.0007,                0.96543,                0.98058,                0.99356,                0.83693,                0.65323,                0.35359,                 1.1081,             0.00087484,             0.00087484,             0.00087484
                     50,                0.53406,                0.42764,                0.98609,                0.97074,                0.96634,                0.98418,                0.80261,                0.68656,                0.39266,                 1.1536,             0.00085834,             0.00085834,             0.00085834
                     51,                0.51543,                0.41866,                 0.9772,                0.95171,                0.99029,                0.98499,                0.80528,                0.69468,                0.39083,                 1.1655,             0.00084184,             0.00084184,             0.00084184
                     52,                0.53085,                0.43443,                0.97334,                0.95276,                0.97915,                 0.9827,                0.81228,                0.65776,                0.38626,                 1.1354,             0.00082533,             0.00082533,             0.00082533
                     53,                 0.5257,                0.42244,                0.97713,                0.97084,                0.96985,                0.98563,                0.82588,                 0.6588,                 0.3689,                  1.123,             0.00080883,             0.00080883,             0.00080883
                     54,                0.53341,                0.41721,                0.97591,                0.96898,                0.96117,                0.99052,                0.81532,                0.65402,                0.39074,                 1.1235,             0.00079233,             0.00079233,             0.00079233
                     55,                0.52164,                0.41285,                0.98025,                0.97127,                0.98463,                0.98444,                 0.8108,                0.64314,                0.37384,                 1.1214,             0.00077582,             0.00077582,             0.00077582
                     56,                0.51162,                0.41425,                 0.9658,                0.93931,                0.96117,                0.97285,                0.79516,                0.66605,                0.39701,                 1.1148,             0.00075932,             0.00075932,             0.00075932
                     57,                0.52059,                0.41828,                0.97627,                0.96984,                0.93677,                0.98448,                 0.8267,                0.64879,                0.40063,                 1.1065,             0.00074282,             0.00074282,             0.00074282
                     58,                0.51186,                0.39834,                0.96947,                0.94853,                0.96117,                0.98245,                0.81703,                0.68901,                0.42474,                 1.1519,             0.00072631,             0.00072631,             0.00072631
                     59,                0.49627,                0.40944,                0.95728,                0.97733,                0.98058,                 0.9905,                0.81747,                0.68566,                0.36829,                 1.1427,             0.00070981,             0.00070981,             0.00070981
                     60,                0.50929,                0.41215,                0.96903,                0.97811,                0.98058,                0.98297,                0.81145,                0.64734,                0.35597,                 1.1387,             0.00069331,             0.00069331,             0.00069331
                     61,                0.49285,                0.40355,                0.96929,                0.96929,                0.98058,                0.98888,                0.81646,                0.67704,                 0.3865,                 1.1461,              0.0006768,              0.0006768,              0.0006768
                     62,                 0.4897,                0.39526,                0.96156,                0.98017,                0.97087,                0.97939,                 0.8284,                0.63144,                0.36107,                 1.1041,              0.0006603,              0.0006603,              0.0006603
                     63,                0.47907,                0.39747,                0.95957,                0.96553,                0.98058,                 0.9895,                0.80926,                 0.6486,                0.37885,                 1.1362,              0.0006438,              0.0006438,              0.0006438
                     64,                0.47636,                0.38762,                0.94533,                0.97366,                0.98058,                0.99316,                0.82441,                0.64703,                0.37489,                 1.1182,             0.00062729,             0.00062729,             0.00062729
                     65,                 0.4727,                0.38429,                0.94231,                0.93504,                0.97829,                0.98984,                0.82131,                   0.65,                0.37056,                 1.1392,             0.00061079,             0.00061079,             0.00061079
                     66,                0.46929,                0.37201,                0.94319,                0.97623,                0.97087,                0.97784,                0.81454,                 0.6357,                0.35433,                 1.1229,             0.00059429,             0.00059429,             0.00059429
                     67,                0.45852,                0.37695,                 0.9387,                0.96017,                0.99029,                0.99151,                0.83637,                0.64948,                0.35816,                 1.1134,             0.00057778,             0.00057778,             0.00057778
                     68,                0.46218,                0.36639,                 0.9425,                 0.9641,                0.96117,                0.98525,                0.82272,                 0.6257,                0.37171,                 1.1027,             0.00056128,             0.00056128,             0.00056128
                     69,                0.44463,                0.36615,                 0.9407,                0.97078,                 0.9678,                0.98952,                0.82356,                0.66579,                0.37675,                 1.1152,             0.00054478,             0.00054478,             0.00054478
                     70,                0.45391,                0.35512,                0.94414,                0.97141,                0.98957,                0.98394,                0.83586,                0.61793,                0.36169,                 1.1014,             0.00052827,             0.00052827,             0.00052827
